GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API,org.dynamoframework.exception,OCSImportException,12,0,0,0,5,0,3,0,3,0
API,org.dynamoframework.exception,OcsNotFoundException,4,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.exception,OCSCalculationException,4,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.exception,OCSSecurityException,4,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.exception,OCSRuntimeException,11,5,0,0,5,2,3,1,3,1
API,org.dynamoframework.exception,OCSException,12,0,0,0,5,0,3,0,3,0
API,org.dynamoframework.exception,OCSValidationException,32,0,4,0,8,0,6,0,4,0
API,org.dynamoframework.exception,OCSNonUniqueException,12,0,0,0,5,0,3,0,3,0
API,org.dynamoframework.dao,JoinType,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.dao,SortOrder.Direction,0,33,0,0,0,5,0,2,0,2
API,org.dynamoframework.dao,PageableImpl,3,33,0,0,1,10,1,5,1,5
API,org.dynamoframework.dao,SortOrder,60,78,14,10,2,11,13,10,3,8
API,org.dynamoframework.dao,FetchJoinInformation,125,0,22,0,12,0,21,0,10,0
API,org.dynamoframework.dao,SortOrders,65,71,14,8,17,13,14,8,5,6
API,org.dynamoframework.constants,DynamoConstants,7,0,0,0,1,0,1,0,1,0
API,org.dynamoframework.domain,AbstractEntity,40,0,6,0,8,0,9,0,6,0
API,org.dynamoframework.domain,QAbstractEntity,42,0,0,0,8,0,4,0,4,0
API,org.dynamoframework.domain.model.annotation,CustomType,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model.annotation,SearchMode,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.service,BaseSearchService,33,0,0,0,5,0,5,0,5,0
API,org.dynamoframework.service,ServiceLocatorFactory,39,33,4,2,12,9,4,3,2,2
API,org.dynamoframework.domain.model,AttributeTextFieldMode,27,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,BooleanType,28,0,2,0,5,0,3,0,2,0
API,org.dynamoframework.domain.model,ElementCollectionMode,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,CascadeMode,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,AttributeDateType,33,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,QueryType,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,AttributeSelectMode,33,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,NumberFieldMode,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,EditableType,27,0,0,0,5,0,1,0,1,0
API,org.dynamoframework.domain.model,AttributeEnumFieldMode,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,GroupTogetherMode,15,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,TrimType,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,VisibilityType,21,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,AttributeType,39,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,AttributeBooleanFieldMode,27,0,0,0,2,0,1,0,1,0
API,org.dynamoframework.domain.model,EntityModelActionType,15,0,0,0,2,0,1,0,1,0
