GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Functional extension - Domain,org.dynamoframework.functional.domain,QDomainParent,141,0,0,0,14,0,4,0,4,0
Functional extension - Domain,org.dynamoframework.functional.domain,QDomain,120,0,0,0,13,0,4,0,4,0
Functional extension - Domain,org.dynamoframework.functional.domain,QCountry,107,0,4,0,20,0,8,0,6,0
Functional extension - Domain,org.dynamoframework.functional.domain,QRegion,156,0,0,0,15,0,4,0,4,0
Functional extension - Domain,org.dynamoframework.functional.domain,QCurrency,132,0,0,0,14,0,4,0,4,0
Functional extension - Domain,org.dynamoframework.functional.domain,QDomainChild,90,0,2,0,19,0,7,0,6,0
Functional extension - Domain,org.dynamoframework.functional.domain,Region,10,5,0,0,5,2,3,1,3,1
Functional extension - Domain,org.dynamoframework.functional.domain,DomainChild,7,8,0,0,3,4,2,2,2,2
Functional extension - Domain,org.dynamoframework.functional.domain,Currency,9,5,0,0,2,2,2,1,2,1
Functional extension - Domain,org.dynamoframework.functional.domain,QLocale,132,0,0,0,14,0,4,0,4,0
Functional extension - Domain,org.dynamoframework.functional.domain,Domain,2,51,1,9,1,13,1,7,0,3
Functional extension - Domain,org.dynamoframework.functional.domain,DomainParent,15,10,0,0,5,3,3,1,3,1
Functional extension - Domain,org.dynamoframework.functional.domain,Locale,17,0,0,0,5,0,4,0,4,0
Functional extension - Domain,org.dynamoframework.functional.domain,Country,15,11,0,0,5,5,4,3,4,3
Functional extension - Domain,org.dynamoframework.functional.util,DomainUtil,0,119,3,15,0,22,3,11,0,5
