GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Implementation,org.dynamoframework.domain.model.impl,EntityModelFactoryImpl,617,4098,138,430,102,825,121,239,4,72
Implementation,org.dynamoframework.domain.model.impl,AttributeModelImpl,70,346,12,16,10,64,13,31,5,25
Implementation,org.dynamoframework.domain.model.impl,EntityModelImpl,63,400,15,41,11,77,17,43,4,28
Implementation,org.dynamoframework.domain.model.impl,EntityModelActionImpl,51,16,2,0,10,4,3,1,2,1
Implementation,org.dynamoframework.configuration,DynamoPropertiesHolder,0,6,0,0,0,3,0,2,0,2
Implementation,org.dynamoframework.configuration,ApplicationConfigurationSupport,30,0,0,0,9,0,3,0,3,0
Implementation,org.dynamoframework.service.impl,MessageServiceImpl,57,43,4,2,11,12,7,4,4,4
Implementation,org.dynamoframework.service.impl,BaseServiceImpl,41,257,3,17,7,46,9,32,6,25
Implementation,org.dynamoframework.service.impl,BaseSpringServiceLocator,67,61,9,7,16,13,10,8,5,5
Implementation,org.dynamoframework.service.impl,EntityScanner,75,153,9,13,16,31,8,8,1,4
Implementation,org.dynamoframework.service.impl,DefaultServiceImpl,2,104,2,6,1,27,2,12,0,10
Implementation,org.dynamoframework.filter,Between,24,79,3,11,2,18,5,10,2,6
Implementation,org.dynamoframework.filter,Compare.LessOrEqual,0,6,0,0,0,2,0,1,0,1
Implementation,org.dynamoframework.filter,In,19,57,2,8,3,14,4,8,2,5
Implementation,org.dynamoframework.filter,Compare.Equal,0,6,0,0,0,2,0,1,0,1
Implementation,org.dynamoframework.filter,IsNull,10,39,0,6,2,11,2,7,2,4
Implementation,org.dynamoframework.filter,Or,0,28,0,4,0,9,0,5,0,3
Implementation,org.dynamoframework.filter,Compare.Operation,0,33,0,0,0,2,0,1,0,1
Implementation,org.dynamoframework.filter,Compare,27,196,13,39,5,41,12,26,0,10
Implementation,org.dynamoframework.filter,AbstractFilter,8,260,4,10,3,34,4,24,0,21
Implementation,org.dynamoframework.filter,Compare.Greater,0,6,0,0,0,2,0,1,0,1
Implementation,org.dynamoframework.filter,FlexibleFilterType,81,0,0,0,3,0,1,0,1,0
Implementation,org.dynamoframework.filter,Compare.Less,0,6,0,0,0,2,0,1,0,1
Implementation,org.dynamoframework.filter,DynamoFilterUtil,47,558,16,102,7,126,15,55,0,11
Implementation,org.dynamoframework.filter,AbstractJunctionFilter,11,103,0,12,2,23,2,12,2,6
Implementation,org.dynamoframework.filter,Compare.GreaterOrEqual,0,6,0,0,0,2,0,1,0,1
Implementation,org.dynamoframework.filter,Modulo,18,98,2,10,3,27,3,12,1,8
Implementation,org.dynamoframework.filter,Contains,17,66,2,10,2,17,4,9,2,5
Implementation,org.dynamoframework.filter,And,4,24,0,4,2,7,1,4,1,2
Implementation,org.dynamoframework.filter,Like,4,126,4,16,1,28,4,15,0,9
Implementation,org.dynamoframework.filter,Not,11,34,0,4,2,10,2,7,2,5
Implementation,org.dynamoframework.domain.query,PagingDataSetIterator,12,119,1,11,4,26,3,8,2,3
Implementation,org.dynamoframework.domain.query,FixedDataSetIterator,33,0,2,0,8,0,4,0,3,0
Implementation,org.dynamoframework.domain.comparator,AttributeComparator,4,43,2,10,2,11,2,5,0,1
Implementation,org.dynamoframework.domain.comparator,IdComparator,0,21,0,4,0,6,0,4,0,2
Implementation,org.dynamoframework.utils,EntityModelUtils,27,150,7,25,8,34,8,13,2,3
Implementation,org.dynamoframework.utils,FormatUtils,77,177,18,28,15,40,15,14,1,5
Implementation,org.dynamoframework.utils,StringUtils,38,178,11,35,10,40,10,22,1,8
Implementation,org.dynamoframework.utils,UrlUtils,0,96,6,16,0,16,6,6,0,1
Implementation,org.dynamoframework.utils,NumberUtils,61,244,15,49,17,47,16,32,3,13
Implementation,org.dynamoframework.utils,DateUtils,57,417,17,75,18,100,15,56,2,23
Implementation,org.dynamoframework.utils,MathUtils,69,0,12,0,9,0,12,0,6,0
Implementation,org.dynamoframework.utils,ClassUtils,57,519,14,58,10,127,15,44,1,22
Implementation,org.dynamoframework,DynamoImplAutoConfigure,0,11,0,0,0,3,0,3,0,3
Implementation,org.dynamoframework,SpringWebServiceLocator,0,5,0,0,0,2,0,2,0,2
Implementation,org.dynamoframework,ApplicationContextProvider,0,6,0,0,0,3,0,2,0,2
Implementation,org.dynamoframework.domain.model.validator,URLValidator,9,22,3,3,5,6,4,2,1,2
Implementation,org.dynamoframework.dao.impl,DefaultDaoImpl,21,46,5,3,4,13,4,6,1,5
Implementation,org.dynamoframework.dao.impl,BaseDaoImpl,84,417,15,25,19,74,21,40,7,34
Implementation,org.dynamoframework.dao.impl,JpaQueryBuilder,288,1216,68,121,66,263,55,72,1,29
